Komentář předsedy vlády B. Sobotky k plnění státního rozpočtu 2015,05-01-2016,Czech Republic,B. Sobotka,279,"<p>Jsem rád, že vláda úspěšně plní svůj závazek a daří se nám postupně snižovat deficit státního rozpočtu. To dokládají dnes zveřejněné výsledky plnění státního rozpočtu za rok 2015.</p><p>
</p><p>
Deficit se nám v minulém roce podařilo snížit meziročně o 15 miliard korun. Ve srovnání se schváleným rozpočtem je nižší dokonce o 37,2 miliardy korun. Lepších výsledků než loni se podařilo dosáhnout jen v předkrizových letech!</p><p>Zavázali jsme se, že rozpočet bude výrazně proinvestiční, a své sliby jsme splnili. Celkové investiční výdaje byly loni 176,2 miliardy korun, což je o bezmála 65 miliard korun více než v roce 2014. To považuji za obzvláště důležitý výsledek, protože investiční aktivita, směrovaná zejména do infrastruktury, patří mezi hlavní priority současné vlády a budeme v ní pokračovat i v roce letošním. Loňský rok nám ukázal, že vládní investiční aktivita s sebou přináší i výrazný růst investic v soukromé sféře.</p><p>Řada opatření současné vlády také spolu s příznivou hospodářskou situací v Evropě a ve světě přispěla k výraznému hospodářskému růstu, v němž jsme se ocitli na špici EU. To přineslo také výrazný růst daňového inkasa o 72,2 miliardy korun. Celkové příjmy se pak zvedly dokonce o 100,7 miliardy korun, na čemž má velký podíl zlepšení čerpání prostředků EU.</p><p>V oblasti výdajů se nám podařilo v řadě oblastí šetřit. Za důležitý považuji pokles prostředků na obsluhu státního dluhu. Tento dluh nás loni vyšel o bezmála tři miliardy korun levněji než v roce 2014. Díky velmi dobrému vývoji na trhu práce máme výraznou úsporu na podporách v nezaměstnanosti. Vyplatilo se na nich o téměř miliardu korun méně.</p><p>
</p><p>
V důsledném plnění rozpočtových závazků budeme pokračovat i v letošním roce. Naším cílem je pokračovat jak ve snižování deficitu, tak v pokračování intenzivní proinvestiční politiky.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",rád vláda úspěšně plní svůj závazek a daří postupně snižovat deficit státního rozpočtu dokládají dnes zveřejněné výsledky plnění státního rozpočtu rok deficit v minulém roce podařilo snížit meziročně o miliard korun srovnání schváleným rozpočtem nižší dokonce o miliardy korun lepších výsledků loni podařilo dosáhnout v předkrizových letech zavázali rozpočet výrazně proinvestiční a své sliby splnili celkové investiční výdaje loni miliardy korun což o bezmála miliard korun více v roce považuji obzvláště důležitý výsledek investiční aktivita směrovaná zejména infrastruktury patří hlavní priority současné vlády a v ní pokračovat i v roce letošním loňský rok ukázal vládní investiční aktivita s sebou přináší i výrazný růst investic v soukromé sféře řada opatření současné vlády také s příznivou hospodářskou situací v evropě a světě přispěla k výraznému hospodářskému růstu v němž ocitli špici eu přineslo také výrazný růst daňového inkasa o miliardy korun celkové příjmy zvedly dokonce o miliardy korun čemž velký podíl zlepšení čerpání prostředků eu v oblasti výdajů podařilo v řadě oblastí šetřit důležitý považuji pokles prostředků obsluhu státního dluhu tento dluh loni vyšel o bezmála miliardy korun levněji v roce díky velmi dobrému vývoji trhu práce výraznou úsporu podporách v nezaměstnanosti vyplatilo o téměř miliardu korun méně v důsledném plnění rozpočtových závazků pokračovat i v letošním roce naším cílem pokračovat snižování deficitu v pokračování intenzivní proinvestiční politiky bohuslav sobotka předseda vlády čr,cs
Komentář předsedy vlády Bohuslava Sobotky k útokům hackerů,05-01-2016,Czech Republic,B. Sobotka,46,"<p>Věc šetří Policie ČR, proto se k ní nebudu vyjadřovat. Opakovanými útoky hackerů na moji osobu a na politiku, kterou prosazuji, se nenechám jakkoli zastrašit nebo ovlivnit. Vláda bude dál prosazovat program a plnit závazky, které jsme dali občanům naší země.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",věc šetří policie čr proto k ní nebudu vyjadřovat opakovanými útoky hackerů osobu a politiku kterou prosazuji nenechám jakkoli zastrašit ovlivnit vláda prosazovat program a plnit závazky dali občanům naší země bohuslav sobotka předseda vlády čr,cs
"Premiér Sobotka: Vláda zásadně zlepšila čerpání peněz z EU fondů, v tuto chvíli ještě nelze přesně kvantifikovat, kolik peněz se nevyčerpá",04-01-2016,Czech Republic,B. Sobotka,228,"<p>Naše vláda převzala odpovědnost až na jaře roku 2014 a nemohla tedy ovlivnit, kolik peněz se vyčerpalo v předcházejících sedmi letech.</p><p>V tuto chvíli ještě nelze přesně kvantifikovat, kolik z přidělené alokace se nevyčerpá. Ještě před rokem odhady nedočerpání v letošním roce přesahovaly 85 miliard korun, nyní jsou odhady o cca 50 miliard korun nižší a finální čísla mohou být ještě nižší.</p><p>Hlavní odpovědnost za případné nedočerpání nesou vlády, které byly u moci během programového období 2007 až 2013. Jednalo se o vládu premiérů Topolánka, Fischera, Nečase a Rusnoka.</p><p>Díky krokům, které naše vláda přijala v roce 2014, rychlost čerpání významně akcelerovala. Již nyní lze říci, že byl zcela vyčerpán operační program Podnikání a inovace.</p><p>V tempu čerpání fondů patříme v současné době spolu se Slovenskem mezi dva nejlepší státy ze všech zemí Evropské unie. Rychlost čerpání evropských fondů má pozitivní vliv na zaměstnanost a hospodářský růst.</p><p>Vláda i nadále klade velký důraz na maximální a včasné čerpání prostředků z nového období 2014–2020, pro které se nám podařilo vyjednat téměř 650 miliard korun. Nechceme, aby se opakovaly chyby předchozích vlád. Všechny operační programy v tomto období již mají vypsané první výzvy. Ministerstvo pro místní rozvoj bude také nadále pravidelně předkládat vládě zprávu o čerpání fondů, aby mohla v případě komplikací flexibilně zareagovat dalšími kroky.</p><p>Bohuslav Sobotka, předseda vlády ČR</p><p>Grafy - navazují na souhrnný stav čerpání a procentní podíl je vždy vztažen k podílu EU. Zdroj: MSC2007 k 4. 11. 2015</p>",vláda převzala odpovědnost až jaře roku a nemohla ovlivnit peněz vyčerpalo v předcházejících sedmi letech v tuto chvíli nelze přesně kvantifikovat z přidělené alokace nevyčerpá rokem odhady nedočerpání v letošním roce přesahovaly miliard korun nyní odhady o cca miliard korun nižší a finální čísla být nižší hlavní odpovědnost případné nedočerpání nesou vlády u moci programového období až jednalo o vládu premiérů topolánka fischera nečase a rusnoka díky krokům vláda přijala v roce rychlost čerpání významně akcelerovala již nyní lze říci zcela vyčerpán operační program podnikání a inovace v tempu čerpání fondů patříme v současné době slovenskem nejlepší státy všech zemí evropské unie rychlost čerpání evropských fondů pozitivní vliv zaměstnanost a hospodářský růst vláda i nadále klade velký důraz maximální a včasné čerpání prostředků z nového období podařilo vyjednat téměř miliard korun nechceme aby opakovaly chyby předchozích vlád všechny operační programy v tomto období již vypsané první výzvy ministerstvo místní rozvoj také nadále pravidelně předkládat vládě zprávu o čerpání fondů aby mohla v případě komplikací flexibilně zareagovat dalšími kroky bohuslav sobotka předseda vlády črgrafy navazují souhrnný stav čerpání a procentní podíl vztažen k podílu eu zdroj msc k,cs
Komentář předsedy vlády B. Sobotky k novoročnímu obědu v Lánech,02-01-2016,Czech Republic,B. Sobotka,124,"<p>Novoroční oběd prezidentského a premiérského páru v Lánech je myslím dobrá tradice a tak jsem rád, že jsme v ní dnes mohli pokračovat. A protože šlo o společenskou událost, nemluvili jsme jenom o politice, ale také třeba o uplynulých svátcích nebo o dětech.  Pokud jde o politiku, seznámil jsem prezidenta Zemana s některými svými plány na rok 2016, zejména pokud jde o zvýšení minimální mzdy, návrh na změnu systému valorizace penzí nebo zvýšení příspěvku na péči. Dotkli jsme se i výhledu naší ekonomiky, čerpání evropských fondů a některých zahraničních témat. I když s prezidentem republiky nemáme na všechno stejný názor, i pro rok 2016 platí, že budeme v pravidelném kontaktu a budeme spolupracovat v zájmu občanů a dobrého fungování České republiky.</p><p>
</p><p>
</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",novoroční oběd prezidentského a premiérského páru v lánech myslím dobrá tradice a rád v ní dnes mohli pokračovat a šlo o společenskou událost nemluvili o politice také o uplynulých svátcích o dětech pokud o politiku seznámil prezidenta zemana s některými svými plány rok zejména pokud o zvýšení minimální mzdy návrh změnu systému valorizace penzí zvýšení příspěvku péči dotkli i výhledu naší ekonomiky čerpání evropských fondů a některých zahraničních témat i s prezidentem republiky stejný názor i rok platí v pravidelném kontaktu a spolupracovat v zájmu občanů a dobrého fungování české republiky bohuslav sobotka předseda vlády čr,cs
Vyjádření předsedy vlády Bohuslava Sobotky k úmrtí generálporučíka Alexandra Beera,31-12-2015,Czech Republic,B. Sobotka,48,"<p>S hlubokým zármutkem jsem se dozvěděl o úmrtí jednoho z českých hrdinů bojů na východní frontě generálporučíka Alexandra Beera a rád bych vyjádřil upřímnou soustrast jeho rodině a přátelům. Vždy jsem obdivoval jeho neutuchající životní energii a aktivní zájem o dění ve společnosti.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",s hlubokým zármutkem dozvěděl o úmrtí jednoho z českých hrdinů bojů východní frontě generálporučíka alexandra beera a rád bych vyjádřil upřímnou soustrast rodině a přátelům obdivoval neutuchající životní energii a aktivní zájem o dění společnosti bohuslav sobotka předseda vlády čr,cs
Komentář předsedy vlády ke zveřejněnému konjunkturálnímu průzkumu za prosinec 2015,28-12-2015,Czech Republic,B. Sobotka,182,"<p>V ekonomice stejně jako v jakékoli jiné oblasti lidské existence je důvěra naprosto klíčová. Pokud budou domácnosti i podnikatelé očekávat spíše špatné časy, tak to bude mít efekt sebenaplňujícího proroctví a výkon ekonomiky půjde dolů. Proto považuji za důležité, že celková důvěra v českou ekonomiku podle šetření Českého statistického úřadu opět vzrostla.</p><p>V případě domácností jde o růst nejen meziměsíční, ale také meziroční. Pokud jde o očekávání domácností, tak jejich obavy ze zhoršení celkové ekonomické situace pro příštích dvanáct měsíců se snížily a stejně tak klesly jejich obavy ze zhoršení jejich vlastní finanční situace. Dá se předpokládat, že politika vlády na tom má jisté zásluhy. Udělali jsme mnoho proto, abychom zmírnili či zrušili restriktivní opatření vlád minulých. Také jsme zavedli některá zcela nová opatření, například zvýšení slevy na druhé a třetí dítě, která posilují příjmy domácností.</p><p>V této politice hodláme pokračovat. Kromě dobré finanční situace domácností v Česku si od toho slibujeme rovněž růst poptávky po zboží a službách podnikatelského sektoru, což přispěje k jeho dalšímu rozvoji. Věřím tedy, že rok 2016 bude podobně úspěšný jako rok letošní.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",v ekonomice stejně jako v jakékoli jiné oblasti lidské existence důvěra naprosto klíčová pokud domácnosti i podnikatelé očekávat spíše špatné časy efekt sebenaplňujícího proroctví a výkon ekonomiky půjde dolů proto považuji důležité celková důvěra v českou ekonomiku podle šetření českého statistického úřadu opět vzrostla v případě domácností o růst nejen meziměsíční také meziroční pokud o očekávání domácností obavy zhoršení celkové ekonomické situace příštích měsíců snížily a stejně klesly obavy zhoršení vlastní finanční situace dá předpokládat politika vlády tom jisté zásluhy udělali mnoho proto abychom zmírnili či zrušili restriktivní opatření vlád minulých také zavedli některá zcela nová opatření například zvýšení slevy druhé a třetí dítě posilují příjmy domácností v této politice hodláme pokračovat dobré finanční situace domácností v česku si toho slibujeme rovněž růst poptávky zboží a službách podnikatelského sektoru což přispěje k dalšímu rozvoji věřím rok podobně úspěšný jako rok letošní bohuslav sobotka předseda vlády čr,cs
Komentář předsedy vlády B. Sobotky k vánočnímu projevu prezidenta republiky M. Zemana,26-12-2015,Czech Republic,B. Sobotka,63,"<p>Vítám, že se první část prezidentova projevu nesla v pozitivním duchu a že ocenil dobré výsledky země a vlády: rychlý hospodářský růst, pokles nezaměstnanosti a zvyšující se platy.</p><p>Pokud jde o uprchlickou krizi, prezident ničím nepřekvapil. Zůstal u svých předsudků a svého obvyklého zjednodušování. Svět a náš život jsou ale složitější, než nám dnes bylo vylíčeno z Lán.</p><p>
</p><p>
</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",vítám první část prezidentova projevu nesla v pozitivním duchu a ocenil dobré výsledky země a vlády rychlý hospodářský růst pokles nezaměstnanosti a zvyšující platy pokud o uprchlickou krizi prezident ničím nepřekvapil zůstal u svých předsudků a svého obvyklého zjednodušování svět a život složitější dnes vylíčeno z lán bohuslav sobotka předseda vlády čr,cs
Komentář premiéra Sobotky k rozhodnutí vlády o odškodnění obyvatel v souvislosti s výbuchy muničních skladů v okolí Vrbětic,21-12-2015,Czech Republic,B. Sobotka,51,"<p>Vláda dnes rozhodla o odškodnění obyvatel, postižených loňskými výbuchy muničních skladů v okolí Vrbětic. Občanům Vlachovic-Vrbětic, Haluzic a Lipové, tedy obcí, odkud museli být občané evakuováni a jejich život byl zasažen bezpečnostními opatřeními, poskytneme celkem 6 milionů korun. Každý občan by tak měl dostat zhruba 3 tisíce korun.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",vláda dnes rozhodla o odškodnění obyvatel postižených loňskými výbuchy muničních skladů v okolí vrbětic občanům vlachovicvrbětic haluzic a lipové obcí odkud museli být občané evakuováni a život zasažen bezpečnostními opatřeními poskytneme celkem milionů korun každý občan by měl dostat zhruba korun bohuslav sobotka předseda vlády čr,cs
Komentář premiéra Sobotky k dnešnímu rozhodnutí vlády o vyslání 25 policistů do Makedonie,21-12-2015,Czech Republic,B. Sobotka,89,"<p>Česká republika pokračuje v pomoci se zvládáním uprchlické vlny v Evropě. Po Maďarsku a Slovinsku vyšleme české policisty také do Makedonie, kde budou pomáhat s udržováním pořádku. Vláda dnes rozhodla, že vyhoví žádosti Makedonie a vyšle do země celkem 25 policistů, kteří zde budou působit od poloviny ledna do konce února 2016. Společně s tím poskytneme Makedonii také finanční pomoc pro řešení migrační krize, a to ve výši 20 milionů korun.</p><p>Vláda dnes zároveň prodloužila působení 20 českých policistů ve Slovinsku, a to do konce ledna příštího roku.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",česká republika pokračuje v pomoci zvládáním uprchlické vlny v evropě maďarsku a slovinsku vyšleme české policisty také makedonie pomáhat s udržováním pořádku vláda dnes rozhodla vyhoví žádosti makedonie a vyšle země celkem policistů zde působit poloviny ledna konce února společně s tím poskytneme makedonii také finanční pomoc řešení migrační krize a výši milionů korun vláda dnes zároveň prodloužila působení českých policistů slovinsku a konce ledna příštího roku bohuslav sobotka předseda vlády čr,cs
Tiskové prohlášení předsedy vlády B. Sobotky k dnešnímu setkání ústavních činitelů na Pražském hradě,16-12-2015,Czech Republic,B. Sobotka,291,"<p>Dnešní setkání nejvyšších ústavních činitelů ČR k otázkám zahraniční a bezpečnostní politiky ČR bude již třetím takovým setkáním v letošním roce. Jsem rád, že se podařilo ustavit tento pravidelný formát, který je velice užitečným nástrojem koordinace zahraničních aktivit prezidenta republiky, členů vlády a obou parlamentních komor. Účinná koordinace zahraniční politiky nám umožňuje lépe prosazovat naše zájmy v zahraničí.</p><p>Na dnešním setkání prodiskutujeme plán našich zahraničních cest pro rok 2016 i připravovaných doprovodných podnikatelských misí. Chceme se zaměřit také na přípravu druhé poloviny předsednictví ČR ve Visegrádské skupině a přípravu pro nadcházející summit NATO, který se uskuteční v červenci 2016 ve Varšavě.</p><p>Z aktuálních zahraničněpolitických a bezpečnostních otázek se budeme věnovat zejména problematice migrace, jednání se zúčastní také ministr vnitra. Považuji za důležité, aby ČR nadále konstruktivně přispívala k tomu, aby se Evropská unie zaměřovala na řešení příčin migrace a řízení migračních toků. Za klíčové považuji zachování schengenského prostoru, dodržování jeho pravidel a ochranu vnější hranice EU, ale také aktivní úsilí o stabilizaci zdrojových regionů migrace a podporu státům v těchto regionech, které poskytují uprchlíkům útočiště či leží na hlavních migračních trasách. Od počátku migrační krize jsme říkali, že je potřeba řešit problémy co nejblíže ke kořenům.</p><p>Česká republika je v tomto ohledu aktivní. Podporujeme státy čelící migrační vlně při budování potřebné infrastruktury a usilujeme o zlepšování životních podmínek lidí, ať už prostřednictvím příspěvků na aktivity EU (Svěřenecký fond pro Afriku, Svěřenecký fond MADAD), OSN (např. UNHCR, UNICEF, Světový potravinový program), humanitárních organizací i formou bilaterálních pomocí.  S ohledem na mezinárodní vývoj je potřeba, aby se naše humanitární pomoc v budoucnu ještě zvýšila. Předpokládám, že se na potřebě české angažovanosti shodneme a že dokážeme zajistit dostatek zdrojů na to, aby ČR fungovala jako zodpovědný a solidární člen světového společenství.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",dnešní setkání nejvyšších ústavních činitelů čr k otázkám zahraniční a bezpečnostní politiky čr již třetím takovým setkáním v letošním roce rád podařilo ustavit tento pravidelný formát velice užitečným nástrojem koordinace zahraničních aktivit prezidenta republiky členů vlády a obou parlamentních komor účinná koordinace zahraniční politiky umožňuje lépe prosazovat zájmy v zahraničí dnešním setkání prodiskutujeme plán našich zahraničních cest rok i připravovaných doprovodných podnikatelských misí zaměřit také přípravu druhé poloviny předsednictví čr visegrádské skupině a přípravu nadcházející summit nato uskuteční v červenci varšavě z aktuálních zahraničněpolitických a bezpečnostních otázek věnovat zejména problematice migrace jednání zúčastní také ministr vnitra považuji důležité aby čr nadále konstruktivně přispívala k tomu aby evropská unie zaměřovala řešení příčin migrace a řízení migračních toků klíčové považuji zachování schengenského prostoru dodržování pravidel a ochranu vnější hranice eu také aktivní úsilí o stabilizaci zdrojových regionů migrace a podporu státům v těchto regionech poskytují uprchlíkům útočiště či leží hlavních migračních trasách počátku migrační krize říkali potřeba řešit problémy nejblíže kořenům česká republika v tomto ohledu aktivní podporujeme státy čelící migrační vlně při budování potřebné infrastruktury a usilujeme o zlepšování životních podmínek lidí ať prostřednictvím příspěvků aktivity eu svěřenecký fond afriku svěřenecký fond madad osn např unhcr unicef světový potravinový program humanitárních organizací i formou bilaterálních pomocí s ohledem mezinárodní vývoj potřeba aby humanitární pomoc v budoucnu zvýšila předpokládám potřebě české angažovanosti shodneme a dokážeme zajistit dostatek zdrojů aby čr fungovala jako zodpovědný a solidární člen světového společenství bohuslav sobotka předseda vlády čr,cs
