Komentář předsedy vlády B. Sobotky k plnění státního rozpočtu 2015,05-01-2016,Czech Republic,B. Sobotka,279,"I am glad that the Government successfully fulfills its commitment, and we manage to gradually reduce the state budget deficit. This is demonstrated today published the results of the state budget for the year 2015. The deficit last year we managed to reduce by 15 billion crowns. In comparison with the approved budget is even lower 37.2 billion. Better results than last year managed to reach a pre-crisis years!We are committed that the budget will be significantly pro-investment, and their promises are fulfilled. Total capital expenditures were 176.2 billion crowns last year, an increase of nearly 65 billion crowns more than in 2014. This was an especially important result because investment activity, especially directed to infrastructure, are among the main priorities of the current government and we are in it continue this year. Last year showed us that government investment activity also brings significant investment growth in the private sector.Many of the measures of the present government as well, along with the favorable economic situation in Europe and the world have contributed to significant economic growth in which we found ourselves on top of the EU. It also brought significant growth in tax collections of 72.2 billion crowns. Total revenue is then lifted even by 100.7 billion crowns, of which a large proportion of improving EU funds.In the area of ​​expenditure, we have managed to save a number of areas. Important is the decline on servicing the national debt. That debt came here last year by almost three billion crowns less than in 2014. Thanks to the very good development in the labor market have significant savings on unemployment aid. It paid to them by almost one billion crowns less. The rigorous implementation of budget commitments will continue this year. Our goal is to continue to reduce the deficit, and the continuation of an intensive pro-investment policies.Bohuslav Sobotka, Prime Minister",glad govern success fulfil commit manag gradual reduc state budget deficit demonstr today publish result state budget year deficit last year manag reduc billion crown comparison approv budget even lower billion better result last year manag reach precrisi year commit budget signific proinvest promis fulfil total capit expenditur billion crown last year increas near billion crown especi import result invest activ especi direct infrastructur among main prioriti current govern continu year last year show us govern invest activ also bring signific invest growth privat sector mani measur present govern well along favor econom situat europ world contribut signific econom growth found top eu also brought signific growth tax collect billion crown total revenu lift even billion crown larg proport improv eu fund area expenditur manag save number area import declin servic nation debt debt came last year almost three billion crown less thank good develop labor market signific save unemploy aid paid almost one billion crown less rigor implement budget commit continu year goal continu reduc deficit continu intens proinvest polici bohuslav sobotka prime minist,"<p>Jsem rád, že vláda úspěšně plní svůj závazek a daří se nám postupně snižovat deficit státního rozpočtu. To dokládají dnes zveřejněné výsledky plnění státního rozpočtu za rok 2015.</p><p>
</p><p>
Deficit se nám v minulém roce podařilo snížit meziročně o 15 miliard korun. Ve srovnání se schváleným rozpočtem je nižší dokonce o 37,2 miliardy korun. Lepších výsledků než loni se podařilo dosáhnout jen v předkrizových letech!</p><p>Zavázali jsme se, že rozpočet bude výrazně proinvestiční, a své sliby jsme splnili. Celkové investiční výdaje byly loni 176,2 miliardy korun, což je o bezmála 65 miliard korun více než v roce 2014. To považuji za obzvláště důležitý výsledek, protože investiční aktivita, směrovaná zejména do infrastruktury, patří mezi hlavní priority současné vlády a budeme v ní pokračovat i v roce letošním. Loňský rok nám ukázal, že vládní investiční aktivita s sebou přináší i výrazný růst investic v soukromé sféře.</p><p>Řada opatření současné vlády také spolu s příznivou hospodářskou situací v Evropě a ve světě přispěla k výraznému hospodářskému růstu, v němž jsme se ocitli na špici EU. To přineslo také výrazný růst daňového inkasa o 72,2 miliardy korun. Celkové příjmy se pak zvedly dokonce o 100,7 miliardy korun, na čemž má velký podíl zlepšení čerpání prostředků EU.</p><p>V oblasti výdajů se nám podařilo v řadě oblastí šetřit. Za důležitý považuji pokles prostředků na obsluhu státního dluhu. Tento dluh nás loni vyšel o bezmála tři miliardy korun levněji než v roce 2014. Díky velmi dobrému vývoji na trhu práce máme výraznou úsporu na podporách v nezaměstnanosti. Vyplatilo se na nich o téměř miliardu korun méně.</p><p>
</p><p>
V důsledném plnění rozpočtových závazků budeme pokračovat i v letošním roce. Naším cílem je pokračovat jak ve snižování deficitu, tak v pokračování intenzivní proinvestiční politiky.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
Komentář předsedy vlády Bohuslava Sobotky k útokům hackerů,05-01-2016,Czech Republic,B. Sobotka,46,"Thing saves Czech police, so I will not comment on it. Repeated hacker attacks on my person and on the policies they advocate, will not let any way intimidate or influence. The Government will continue to promote the program and meet the commitments we have given the citizens of our country.Bohuslav Sobotka, Prime Minister",thing save czech polic comment repeat hacker attack person polici advoc let way intimid influenc govern continu promot program meet commit given citizen countri bohuslav sobotka prime minist,"<p>Věc šetří Policie ČR, proto se k ní nebudu vyjadřovat. Opakovanými útoky hackerů na moji osobu a na politiku, kterou prosazuji, se nenechám jakkoli zastrašit nebo ovlivnit. Vláda bude dál prosazovat program a plnit závazky, které jsme dali občanům naší země.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
"Premiér Sobotka: Vláda zásadně zlepšila čerpání peněz z EU fondů, v tuto chvíli ještě nelze přesně kvantifikovat, kolik peněz se nevyčerpá",04-01-2016,Czech Republic,B. Sobotka,228,"Our government took responsibility until the spring of 2014 and could therefore affect how much money was exhausted in the previous seven years.At the moment not yet possible to quantify exactly how much of the allocated allocation is exhausted. Even before the estimates drawn in this year exceeded 85 billion crowns are now estimates about 50 billion lower, and the final numbers may be even lower.The main responsibility for any under-execution lies with governments that were in power during the programming period 2007 to 2013. It was the government of Prime Minister Mirek Topolanek, Fischer and Nečas Rusnok.Thanks to the actions taken by our government adopted in 2014, and pumping rate significantly accelerated. Already now we can say that he was completely exhausted Operational Programme Enterprise and Innovation.The pace of disbursement of funds we are currently with Slovakia between the two best states from all European Union countries. The speed of drawing European funds has a positive effect on employment and economic growth.The government continues to place great emphasis on maximum and timely withdrawal of funds from the new period 2014-2020, for which we managed to negotiate almost 650 billion crowns. We do not want to repeat the mistakes of previous governments. All operational programs in this period are listed first call. The Ministry for Regional Development will also continue to regularly submit to the Government a report on the implementation of the funds, so that in case of complications flexibly react to the next steps.Bohuslav Sobotka, Prime MinisterGraphs - linked to the general state of exhaustion and the percentage is always related to the proportion of the EU. Source: MSC2007 to 4. 11. 2015",govern took respons spring could therefor affect much money exhaust previous seven year moment yet possibl quantifi exact much alloc alloc exhaust even estim drawn year exceed billion crown estim billion lower final number may even lower main respons underexecut lie govern power program period govern prime minist mirek topolanek fischer neča rusnok thank action taken govern adopt pump rate signific acceler alreadi say complet exhaust oper programm enterpris innov pace disburs fund current slovakia two best state european union countri speed draw european fund posit effect employ econom growth govern continu place great emphasi maximum time withdraw fund new period manag negoti almost billion crown want repeat mistak previous govern oper program period list first call ministri region develop also continu regular submit govern report implement fund case complic flexibl react next step bohuslav sobotka prime ministergraph link general state exhaust percentag alway relat proport eu sourc msc,"<p>Naše vláda převzala odpovědnost až na jaře roku 2014 a nemohla tedy ovlivnit, kolik peněz se vyčerpalo v předcházejících sedmi letech.</p><p>V tuto chvíli ještě nelze přesně kvantifikovat, kolik z přidělené alokace se nevyčerpá. Ještě před rokem odhady nedočerpání v letošním roce přesahovaly 85 miliard korun, nyní jsou odhady o cca 50 miliard korun nižší a finální čísla mohou být ještě nižší.</p><p>Hlavní odpovědnost za případné nedočerpání nesou vlády, které byly u moci během programového období 2007 až 2013. Jednalo se o vládu premiérů Topolánka, Fischera, Nečase a Rusnoka.</p><p>Díky krokům, které naše vláda přijala v roce 2014, rychlost čerpání významně akcelerovala. Již nyní lze říci, že byl zcela vyčerpán operační program Podnikání a inovace.</p><p>V tempu čerpání fondů patříme v současné době spolu se Slovenskem mezi dva nejlepší státy ze všech zemí Evropské unie. Rychlost čerpání evropských fondů má pozitivní vliv na zaměstnanost a hospodářský růst.</p><p>Vláda i nadále klade velký důraz na maximální a včasné čerpání prostředků z nového období 2014–2020, pro které se nám podařilo vyjednat téměř 650 miliard korun. Nechceme, aby se opakovaly chyby předchozích vlád. Všechny operační programy v tomto období již mají vypsané první výzvy. Ministerstvo pro místní rozvoj bude také nadále pravidelně předkládat vládě zprávu o čerpání fondů, aby mohla v případě komplikací flexibilně zareagovat dalšími kroky.</p><p>Bohuslav Sobotka, předseda vlády ČR</p><p>Grafy - navazují na souhrnný stav čerpání a procentní podíl je vždy vztažen k podílu EU. Zdroj: MSC2007 k 4. 11. 2015</p>",entr
Komentář předsedy vlády B. Sobotky k novoročnímu obědu v Lánech,02-01-2016,Czech Republic,B. Sobotka,124,"New Year's lunch presidential and prime minister couple in Lany I think it is a good tradition and I'm glad we have it today, could continue. And because it was a social event, we are not talking only about politics, but also be on past holidays or on children. When it comes to politics, I met President Zeman with some of his plans for 2016, especially in terms of raising the minimum wage, a proposal to change the system of indexation of pensions and increasing contribution to care. We touched and outlook of our economy, drawing from European funds and some foreign topics. Although the president we are not all the same opinion, as well as for 2016 is true that we are in regular contact and we will cooperate in the interests of citizens and the good functioning of the Czech Republic.  Bohuslav Sobotka, Prime Minister",new year lunch presidenti prime minist coupl lani think good tradit m glad today could continu social event talk polit also past holiday children come polit met presid zeman plan especi term rais minimum wage propos chang system index pension increas contribut care touch outlook economi draw european fund foreign topic although presid opinion well true regular contact cooper interest citizen good function czech republ bohuslav sobotka prime minist,"<p>Novoroční oběd prezidentského a premiérského páru v Lánech je myslím dobrá tradice a tak jsem rád, že jsme v ní dnes mohli pokračovat. A protože šlo o společenskou událost, nemluvili jsme jenom o politice, ale také třeba o uplynulých svátcích nebo o dětech.  Pokud jde o politiku, seznámil jsem prezidenta Zemana s některými svými plány na rok 2016, zejména pokud jde o zvýšení minimální mzdy, návrh na změnu systému valorizace penzí nebo zvýšení příspěvku na péči. Dotkli jsme se i výhledu naší ekonomiky, čerpání evropských fondů a některých zahraničních témat. I když s prezidentem republiky nemáme na všechno stejný názor, i pro rok 2016 platí, že budeme v pravidelném kontaktu a budeme spolupracovat v zájmu občanů a dobrého fungování České republiky.</p><p>
</p><p>
</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
Vyjádření předsedy vlády Bohuslava Sobotky k úmrtí generálporučíka Alexandra Beera,31-12-2015,Czech Republic,B. Sobotka,48,"With deep sorrow I learned of the death of one of the Czech heroes fighting on the Eastern Front Lieutenant General Alexander Beera and I would like to express sincere condolences to his family and friends. I have always admired his unwavering stamina and active interest in society.Bohuslav Sobotka, Prime Minister",deep sorrow learn death one czech hero fight eastern front lieuten general alexand beera would like express sincer condol famili friend alway admir unwav stamina activ interest societi bohuslav sobotka prime minist,"<p>S hlubokým zármutkem jsem se dozvěděl o úmrtí jednoho z českých hrdinů bojů na východní frontě generálporučíka Alexandra Beera a rád bych vyjádřil upřímnou soustrast jeho rodině a přátelům. Vždy jsem obdivoval jeho neutuchající životní energii a aktivní zájem o dění ve společnosti.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
Komentář předsedy vlády ke zveřejněnému konjunkturálnímu průzkumu za prosinec 2015,28-12-2015,Czech Republic,B. Sobotka,182,"In economics, as in any other area of ​​human existence is to trust absolutely crucial. If households and businesses expect more bad times, so it will have the effect of self-fulfilling prophecy and economic performance will go down. Therefore, I consider it important that the overall confidence in the Czech economy, according to the Czech Statistical Office survey rose again.In the case of households in terms of growth not just mom, but also year on year. Regarding the expectations of households and their fears of worsening general economic situation for the next twelve months they decreased and so have fallen to their concerns about the deterioration of their own financial situation. It can assume that the government's policy on this has some merit. We did a lot so that we can relieve or cancel the restrictive measures of governments past. Also, we have introduced some entirely new measures, such as increasing discounts for second and third child, which boost household incomes.In this policy we intend to continue. In addition to good financial situation of households in the Czech Republic from which we expect to increase as demand for goods and services in the business sector, which will contribute to its further development. So I believe the year 2016 will be as successful as this year.Bohuslav Sobotka, Prime Minister",econom area human exist trust absolut crucial household busi expect bad time effect selffulfil propheci econom perform go therefor consid import overal confid czech economi accord czech statist offic survey rose case household term growth mom also year year regard expect household fear worsen general econom situat next twelv month decreas fallen concern deterior financi situat assum govern polici merit lot reliev cancel restrict measur govern past also introduc entir new measur increas discount second third child boost household incom polici intend continu addit good financi situat household czech republ expect increas demand good servic busi sector contribut develop believ year success year bohuslav sobotka prime minist,"<p>V ekonomice stejně jako v jakékoli jiné oblasti lidské existence je důvěra naprosto klíčová. Pokud budou domácnosti i podnikatelé očekávat spíše špatné časy, tak to bude mít efekt sebenaplňujícího proroctví a výkon ekonomiky půjde dolů. Proto považuji za důležité, že celková důvěra v českou ekonomiku podle šetření Českého statistického úřadu opět vzrostla.</p><p>V případě domácností jde o růst nejen meziměsíční, ale také meziroční. Pokud jde o očekávání domácností, tak jejich obavy ze zhoršení celkové ekonomické situace pro příštích dvanáct měsíců se snížily a stejně tak klesly jejich obavy ze zhoršení jejich vlastní finanční situace. Dá se předpokládat, že politika vlády na tom má jisté zásluhy. Udělali jsme mnoho proto, abychom zmírnili či zrušili restriktivní opatření vlád minulých. Také jsme zavedli některá zcela nová opatření, například zvýšení slevy na druhé a třetí dítě, která posilují příjmy domácností.</p><p>V této politice hodláme pokračovat. Kromě dobré finanční situace domácností v Česku si od toho slibujeme rovněž růst poptávky po zboží a službách podnikatelského sektoru, což přispěje k jeho dalšímu rozvoji. Věřím tedy, že rok 2016 bude podobně úspěšný jako rok letošní.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
Komentář předsedy vlády B. Sobotky k vánočnímu projevu prezidenta republiky M. Zemana,26-12-2015,Czech Republic,B. Sobotka,63,"I welcome that the first part of the President's speech held in a positive spirit and appreciating the good results of the country and the government: rapid economic growth, falling unemployment and rising salaries.Regarding the refugee crisis, the president surprised by anything. He stayed with their prejudices and their usual simplification. The world and our lives are more complicated than us today has been portrayed on the ropes.  Bohuslav Sobotka, Prime Minister",welcom first part presid speech held posit spirit appreci good result countri govern rapid econom growth fall unemploy rise salari regard refuge crisi presid surpris anyth stay prejudic usual simplif world live complic us today portray rope bohuslav sobotka prime minist,"<p>Vítám, že se první část prezidentova projevu nesla v pozitivním duchu a že ocenil dobré výsledky země a vlády: rychlý hospodářský růst, pokles nezaměstnanosti a zvyšující se platy.</p><p>Pokud jde o uprchlickou krizi, prezident ničím nepřekvapil. Zůstal u svých předsudků a svého obvyklého zjednodušování. Svět a náš život jsou ale složitější, než nám dnes bylo vylíčeno z Lán.</p><p>
</p><p>
</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
Komentář premiéra Sobotky k rozhodnutí vlády o odškodnění obyvatel v souvislosti s výbuchy muničních skladů v okolí Vrbětic,21-12-2015,Czech Republic,B. Sobotka,51,"The government today decided on the compensation to residents affected by last year's explosions at ammunition depots around Vrbětice. Citizens Vlachovice-Vrbětice, Haluzice and Linden, thus municipalities where citizens had to be evacuated and their life has been affected by security measures, will provide a total of 6 million. Every citizen should thus get about 3,000 crowns.Bohuslav Sobotka, Prime Minister",govern today decid compens resid affect last year explos ammunit depot around vrbětice citizen vlachovicevrbětic haluzic linden thus municip citizen evacu life affect secur measur provid total million everi citizen thus get crown bohuslav sobotka prime minist,"<p>Vláda dnes rozhodla o odškodnění obyvatel, postižených loňskými výbuchy muničních skladů v okolí Vrbětic. Občanům Vlachovic-Vrbětic, Haluzic a Lipové, tedy obcí, odkud museli být občané evakuováni a jejich život byl zasažen bezpečnostními opatřeními, poskytneme celkem 6 milionů korun. Každý občan by tak měl dostat zhruba 3 tisíce korun.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
Komentář premiéra Sobotky k dnešnímu rozhodnutí vlády o vyslání 25 policistů do Makedonie,21-12-2015,Czech Republic,B. Sobotka,89,"Czech Republic continues to assist in dealing with the refugee exodus in Europe. After Slovenia, Hungary and Czech policemen also we send out to Macedonia, where they will assist in maintaining order. The government today decided to comply with requests from Macedonia and sends the country a total of 25 police officers who are here will operate from mid-January to late February 2016. Together with Macedonia also provide financial assistance for addressing migration crisis in the amount of 20 million.The government also extended the action 20 Czech policemen in Slovenia at the end of January next year.Bohuslav Sobotka, Prime Minister",czech republ continu assist deal refuge exodus europ slovenia hungari czech policemen also send macedonia assist maintain order govern today decid compli request macedonia send countri total polic offic oper midjanuari late februari togeth macedonia also provid financi assist address migrat crisi amount million govern also extend action czech policemen slovenia end januari next year bohuslav sobotka prime minist,"<p>Česká republika pokračuje v pomoci se zvládáním uprchlické vlny v Evropě. Po Maďarsku a Slovinsku vyšleme české policisty také do Makedonie, kde budou pomáhat s udržováním pořádku. Vláda dnes rozhodla, že vyhoví žádosti Makedonie a vyšle do země celkem 25 policistů, kteří zde budou působit od poloviny ledna do konce února 2016. Společně s tím poskytneme Makedonii také finanční pomoc pro řešení migrační krize, a to ve výši 20 milionů korun.</p><p>Vláda dnes zároveň prodloužila působení 20 českých policistů ve Slovinsku, a to do konce ledna příštího roku.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
Tiskové prohlášení předsedy vlády B. Sobotky k dnešnímu setkání ústavních činitelů na Pražském hradě,16-12-2015,Czech Republic,B. Sobotka,291,"Today's meeting of top Czech constitutional officials on issues of foreign and security policy of the Czech Republic will be the third such meeting this year. I am glad that we managed to establish this regular format, which is a very useful tool for coordination of the international activities of the President of the Republic, members of the government and the two parliamentary chambers. Effective coordination of foreign policy enables us to better articulate our interests abroad.At today's meeting to discuss the plan of our foreign trips for 2016 and prepared the accompanying business missions. We also focus on preparing the second half of the Czech Presidency of the Visegrad Group and the preparation for the upcoming NATO summit, to be held in July 2016 in Warsaw.Our current foreign policy and security issues, especially with the issue of migration talks was attended by the Minister of the Interior. I think it is important that the Czech Republic continue to constructively contribute to the European Union is focused on addressing the root causes of migration and the management of migration flows. The key idea of ​​the Schengen area, compliance with its rules and protection of the external borders of the EU, but also active efforts to stabilize the source regions of migration and support countries in these regions, which provide shelter to refugees and lies on the main migration routes. Since the beginning of the migration crisis, we said that it is necessary to solve the problems as close to the roots.Czech Republic is active in this regard. We support countries facing a wave of migration in building the necessary infrastructure and strive to improve the living conditions of people, whether through contributions to the EU activities (Trust Fund for Africa The Trust Fund Madadi), the UN (eg. UNHCR, UNICEF, WFP) humanitarian organizations in the form of bilateral aid. With regard to international development is needed to make our humanitarian aid has increased even more in the future. I suppose the need for involvement of Czech and agree that we can provide enough resources to make the CR acted as a responsible member of the world community solidarity.Bohuslav Sobotka, Prime Minister",today meet top czech constitut offici issu foreign secur polici czech republ third meet year glad manag establish regular format use tool coordin intern activ presid republ member govern two parliamentari chamber effect coordin foreign polici enabl us better articul interest abroad today meet discuss plan foreign trip prepar accompani busi mission also focus prepar second half czech presid visegrad group prepar upcom nato summit held juli warsaw current foreign polici secur issu especi issu migrat talk attend minist interior think import czech republ continu construct contribut european union focus address root caus migrat manag migrat flow key idea schengen area complianc rule protect extern border eu also activ effort stabil sourc region migrat support countri region provid shelter refuge lie main migrat rout sinc begin migrat crisi said necessari solv problem close root czech republ activ regard support countri face wave migrat build necessari infrastructur strive improv live condit peopl whether contribut eu activ trust fund africa trust fund madadi un eg unhcr unicef wfp humanitarian organ form bilater aid regard intern develop need make humanitarian aid increas even futur suppos need involv czech agre provid enough resourc make cr act respons member world communiti solidar bohuslav sobotka prime minist,"<p>Dnešní setkání nejvyšších ústavních činitelů ČR k otázkám zahraniční a bezpečnostní politiky ČR bude již třetím takovým setkáním v letošním roce. Jsem rád, že se podařilo ustavit tento pravidelný formát, který je velice užitečným nástrojem koordinace zahraničních aktivit prezidenta republiky, členů vlády a obou parlamentních komor. Účinná koordinace zahraniční politiky nám umožňuje lépe prosazovat naše zájmy v zahraničí.</p><p>Na dnešním setkání prodiskutujeme plán našich zahraničních cest pro rok 2016 i připravovaných doprovodných podnikatelských misí. Chceme se zaměřit také na přípravu druhé poloviny předsednictví ČR ve Visegrádské skupině a přípravu pro nadcházející summit NATO, který se uskuteční v červenci 2016 ve Varšavě.</p><p>Z aktuálních zahraničněpolitických a bezpečnostních otázek se budeme věnovat zejména problematice migrace, jednání se zúčastní také ministr vnitra. Považuji za důležité, aby ČR nadále konstruktivně přispívala k tomu, aby se Evropská unie zaměřovala na řešení příčin migrace a řízení migračních toků. Za klíčové považuji zachování schengenského prostoru, dodržování jeho pravidel a ochranu vnější hranice EU, ale také aktivní úsilí o stabilizaci zdrojových regionů migrace a podporu státům v těchto regionech, které poskytují uprchlíkům útočiště či leží na hlavních migračních trasách. Od počátku migrační krize jsme říkali, že je potřeba řešit problémy co nejblíže ke kořenům.</p><p>Česká republika je v tomto ohledu aktivní. Podporujeme státy čelící migrační vlně při budování potřebné infrastruktury a usilujeme o zlepšování životních podmínek lidí, ať už prostřednictvím příspěvků na aktivity EU (Svěřenecký fond pro Afriku, Svěřenecký fond MADAD), OSN (např. UNHCR, UNICEF, Světový potravinový program), humanitárních organizací i formou bilaterálních pomocí.  S ohledem na mezinárodní vývoj je potřeba, aby se naše humanitární pomoc v budoucnu ještě zvýšila. Předpokládám, že se na potřebě české angažovanosti shodneme a že dokážeme zajistit dostatek zdrojů na to, aby ČR fungovala jako zodpovědný a solidární člen světového společenství.</p><p>Bohuslav Sobotka, předseda vlády ČR</p>",entr
